spent_weapon,spent_vitality,spent_spirit,spent_total,spike_weapon,spike_vitality,spike_spirit,ratio_weapon,ratio_vitality,ratio_spirit,skill_0_lvl,skill_1_lvl,skill_2_lvl,ult_lvl,early_ult,_items_sequence,_ability_sequence,cluster
9600,12000,4000,25600,1,1,0,0.375,0.46875,0.15625,4,4,4,3,0,"[""2226497419"", ""4075861416"", ""2829638276"", ""865846625"", ""3970837787"", ""3270001687"", ""7409189"", ""2081037738"", ""968099481""]","[1593133799, 1593133799, 3516947824, 3516947824, 491391007, 1142270357, 1593133799, 1593133799, 491391007, 3516947824, 491391007, 491391007, 1142270357, 1142270357, 1142270357, 3516947824]",0
19200,8800,800,28800,1,1,0,0.6666666666666666,0.3055555555555556,0.0277777777777777,4,4,4,4,0,"[""2480592370"", ""3696726732"", ""2226497419"", ""1144549437"", ""2356412290"", ""3399065363"", ""2603935618"", ""3270001687"", ""1414025773"", ""3776945997""]","[1593133799, 1593133799, 3516947824, 3516947824, 491391007, 1142270357, 1593133799, 1593133799, 491391007, 3516947824, 491391007, 491391007, 1142270357, 1142270357, 1142270357, 3516947824]",0
10400,8800,4800,24000,1,1,1,0.4333333333333333,0.3666666666666666,0.2,4,4,3,3,0,"[""1144549437"", ""2356412290"", ""668299740"", ""1113837674"", ""2829638276"", ""3270001687"", ""3970837787"", ""1378931225"", ""2081037738"", ""465043967"", ""7409189"", ""968099481""]","[1593133799, 1593133799, 3516947824, 3516947824, 491391007, 1142270357, 1593133799, 1593133799, 491391007, 3516947824, 491391007, 491391007, 1142270357, 1142270357, 1142270357, 3516947824]",1
12800,800,4800,18400,1,0,1,0.6956521739130435,0.0434782608695652,0.2608695652173913,4,3,4,4,0,"[""2226497419"", ""3696726732"", ""2739107182"", ""3399065363"", ""2951612397"", ""1292979587""]","[1593133799, 1593133799, 3516947824, 3516947824, 491391007, 1142270357, 1593133799, 1593133799, 491391007, 3516947824, 491391007, 491391007, 1142270357, 1142270357, 1142270357, 3516947824]",3
8000,8000,3200,19200,1,1,0,0.4166666666666667,0.4166666666666667,0.1666666666666666,3,4,4,4,1,"[""710436191"", ""1144549437"", ""334300056"", ""3270001687"", ""2603935618"", ""2951612397"", ""2081037738""]","[1593133799, 1593133799, 3516947824, 3516947824, 491391007, 1142270357, 1593133799, 1593133799, 491391007, 3516947824, 491391007, 491391007, 1142270357, 1142270357, 1142270357, 3516947824]",5
15200,8000,6400,29600,1,1,1,0.5135135135135135,0.2702702702702703,0.2162162162162162,4,2,4,3,0,"[""710436191"", ""668299740"", ""2480592370"", ""2356412290"", ""3270001687"", ""2603935618"", ""2447176615"", ""876563814"", ""7409189"", ""2081037738"", ""787198704""]","[1593133799, 1593133799, 3516947824, 3516947824, 491391007, 1142270357, 1593133799, 1593133799, 491391007, 3516947824, 491391007, 491391007, 1142270357, 1142270357, 1142270357, 3516947824]",1
17600,6400,3200,27200,1,1,0,0.6470588235294118,0.2352941176470588,0.1176470588235294,4,4,4,3,0,"[""1396247347"", ""668299740"", ""1548066885"", ""2480592370"", ""3696726732"", ""3270001687"", ""2603935618"", ""1710079648"", ""3399065363"", ""7409189"", ""2951612397""]","[1593133799, 1593133799, 3516947824, 3516947824, 491391007, 1142270357, 1593133799, 1593133799, 491391007, 3516947824, 491391007, 491391007, 1142270357, 1142270357, 1142270357, 3516947824]",0
3200,10400,3200,16800,0,1,0,0.1904761904761904,0.6190476190476191,0.1904761904761904,4,4,4,4,0,"[""1144549437"", ""2356412290"", ""2829638276"", ""1797283378"", ""1644605047"", ""1047818222"", ""2717651715""]","[1593133799, 1593133799, 3516947824, 3516947824, 491391007, 1142270357, 1593133799, 1593133799, 491391007, 3516947824, 491391007, 491391007, 1142270357, 1142270357, 1142270357, 3516947824]",4
9600,3200,2400,15200,1,0,0,0.631578947368421,0.2105263157894736,0.1578947368421052,4,4,4,4,0,"[""668299740"", ""4104549924"", ""2739107182"", ""1548066885"", ""4075861416"", ""3270001687"", ""2081037738"", ""968099481""]","[1593133799, 1593133799, 3516947824, 3516947824, 491391007, 1142270357, 1593133799, 1593133799, 491391007, 3516947824, 491391007, 491391007, 1142270357, 1142270357, 1142270357, 3516947824]",0
5600,12000,11200,28800,1,1,1,0.1944444444444444,0.4166666666666667,0.3888888888888889,4,4,4,4,0,"[""4104549924"", ""2356412290"", ""1144549437"", ""1548066885"", ""876563814"", ""3491236900"", ""3270001687"", ""2829638276"", ""2081037738"", ""2717651715"", ""2519598785""]","[1593133799, 1593133799, 3516947824, 3516947824, 491391007, 1142270357, 1593133799, 1593133799, 491391007, 3516947824, 491391007, 491391007, 1142270357, 1142270357, 1142270357, 3516947824]",1
